POAexemptCode,Description
I69.244,Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
I69.249,Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting unspecified side
I69.251,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side
I69.252,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side
I69.253,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side
I69.254,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side
I69.259,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side
I69.261,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right dominant side
I69.262,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left dominant side
I69.263,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right non-dominant side
I69.264,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side
I69.265,"Other paralytic syndrome following other nontraumatic intracranial hemorrhage, bilateral"
I69.269,Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting unspecified side
I69.290,Apraxia following other nontraumatic intracranial hemorrhage
I69.291,Dysphagia following other nontraumatic intracranial hemorrhage
I69.292,Facial weakness following other nontraumatic intracranial hemorrhage
I69.293,Ataxia following other nontraumatic intracranial hemorrhage
I69.298,Other sequelae of other nontraumatic intracranial hemorrhage
I69.30,Unspecified sequelae of cerebral infarction
I69.310,Attention and concentration deficit following cerebral infarction
I69.311,Memory deficit following cerebral infarction
I69.312,Visuospatial deficit and spatial neglect following cerebral infarction
I69.313,Psychomotor deficit following cerebral infarction
I69.314,Frontal lobe and executive function deficit following cerebral infarction
I69.315,Cognitive social or emotional deficit following cerebral infarction
I69.318,Other symptoms and signs involving cognitive functions following cerebral infarction
I69.319,Unspecified symptoms and signs involving cognitive functions following cerebral infarction
I69.320,Aphasia following cerebral infarction
I69.321,Dysphasia following cerebral infarction
I69.322,Dysarthria following cerebral infarction
I69.323,Fluency disorder following cerebral infarction
I69.328,Other speech and language deficits following cerebral infarction
I69.331,Monoplegia of upper limb following cerebral infarction affecting right dominant side
I69.332,Monoplegia of upper limb following cerebral infarction affecting left dominant side
I69.333,Monoplegia of upper limb following cerebral infarction affecting right non-dominant side
I69.334,Monoplegia of upper limb following cerebral infarction affecting left non-dominant side
I69.339,Monoplegia of upper limb following cerebral infarction affecting unspecified side
I69.341,Monoplegia of lower limb following cerebral infarction affecting right dominant side
I69.342,Monoplegia of lower limb following cerebral infarction affecting left dominant side
I69.343,Monoplegia of lower limb following cerebral infarction affecting right non-dominant side
I69.344,Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
I69.349,Monoplegia of lower limb following cerebral infarction affecting unspecified side
I69.351,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
I69.352,Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
I69.353,Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side
I69.354,Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side
I69.359,Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
I69.361,Other paralytic syndrome following cerebral infarction affecting right dominant side
I69.362,Other paralytic syndrome following cerebral infarction affecting left dominant side
I69.363,Other paralytic syndrome following cerebral infarction affecting right non-dominant side
I69.364,Other paralytic syndrome following cerebral infarction affecting left non-dominant side
I69.365,"Other paralytic syndrome following cerebral infarction, bilateral"
I69.369,Other paralytic syndrome following cerebral infarction affecting unspecified side
I69.390,Apraxia following cerebral infarction
I69.391,Dysphagia following cerebral infarction
I69.392,Facial weakness following cerebral infarction
I69.393,Ataxia following cerebral infarction
I69.398,Other sequelae of cerebral infarction
I69.80,Unspecified sequelae of other cerebrovascular disease
I69.810,Attention and concentration deficit following other cerebrovascular disease
I69.811,Memory deficit following other cerebrovascular disease
I69.812,Visuospatial deficit and spatial neglect following other cerebrovascular disease
I69.813,Psychomotor deficit following other cerebrovascular disease
I69.814,Frontal lobe and executive function deficit following other cerebrovascular disease
I69.815,Cognitive social or emotional deficit following other cerebrovascular disease
I69.818,Other symptoms and signs involving cognitive functions following other cerebrovascular disease
I69.819,Unspecified symptoms and signs involving cognitive functions following other cerebrovascular disease
I69.820,Aphasia following other cerebrovascular disease
I69.821,Dysphasia following other cerebrovascular disease
I69.822,Dysarthria following other cerebrovascular disease
I69.823,Fluency disorder following other cerebrovascular disease
I69.828,Other speech and language deficits following other cerebrovascular disease
I69.831,Monoplegia of upper limb following other cerebrovascular disease affecting right dominant side
I69.832,Monoplegia of upper limb following other cerebrovascular disease affecting left dominant side
I69.833,Monoplegia of upper limb following other cerebrovascular disease affecting right non-dominant side
I69.834,Monoplegia of upper limb following other cerebrovascular disease affecting left non-dominant side
I69.839,Monoplegia of upper limb following other cerebrovascular disease affecting unspecified side
I69.841,Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side
I69.842,Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side
I69.843,Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side
I69.844,Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side
I69.849,Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side
I69.851,Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side
I69.852,Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side
I69.853,Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side
I69.854,Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side
I69.859,Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
I69.861,Other paralytic syndrome following other cerebrovascular disease affecting right dominant side
I69.862,Other paralytic syndrome following other cerebrovascular disease affecting left dominant side
I69.863,Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side
I69.864,Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side
I69.865,"Other paralytic syndrome following other cerebrovascular disease, bilateral"
I69.869,Other paralytic syndrome following other cerebrovascular disease affecting unspecified side
I69.890,Apraxia following other cerebrovascular disease
I69.891,Dysphagia following other cerebrovascular disease
I69.892,Facial weakness following other cerebrovascular disease
I69.893,Ataxia following other cerebrovascular disease
I69.898,Other sequelae of other cerebrovascular disease
I69.90,Unspecified sequelae of unspecified cerebrovascular disease
I69.920,Aphasia following unspecified cerebrovascular disease
I69.921,Dysphasia following unspecified cerebrovascular disease
I69.922,Dysarthria following unspecified cerebrovascular disease
I69.923,Fluency disorder following unspecified cerebrovascular disease
I69.928,Other speech and language deficits following unspecified cerebrovascular disease
I69.931,Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side
I69.932,Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side
I69.933,Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side
I69.934,Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side
I69.939,Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side
I69.941,Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side
I69.942,Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side
I69.943,Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side
I69.944,Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side
I69.949,Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side
I69.951,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side
I69.952,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side
I69.953,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side
I69.954,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side
I69.959,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
I69.961,Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side
I69.962,Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side
I69.963,Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side
I69.964,Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side
I69.965,"Other paralytic syndrome following unspecified cerebrovascular disease, bilateral"
I69.969,Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side
I69.990,Apraxia following unspecified cerebrovascular disease
I69.991,Dysphagia following unspecified cerebrovascular disease
I69.992,Facial weakness following unspecified cerebrovascular disease
I69.993,Ataxia following unspecified cerebrovascular disease
I69.998,Other sequelae following unspecified cerebrovascular disease
M84.750D,"Atypical femoral fracture, unspecified, subsequent encounter for fracture with routine healing"
M84.750G,"Atypical femoral fracture, unspecified, subsequent encounter for fracture with delayed healing"
M84.750K,"Atypical femoral fracture, unspecified, subsequent encounter for fracture with nonunion"
M84.750P,"Atypical femoral fracture, unspecified, subsequent encounter for fracture with malunion"
M84.750S,"Atypical femoral fracture, unspecified, sequela"
M84.751D,"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
M84.751G,"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
M84.751K,"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
M84.751P,"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
M84.751S,"Incomplete atypical femoral fracture, right leg, sequela"
M84.752D,"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
M84.752G,"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
M84.752K,"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
M84.752P,"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
M84.752S,"Incomplete atypical femoral fracture, left leg, sequela"
M84.753D,"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
M84.753G,"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
M84.753K,"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
M84.753P,"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
M84.753S,"Incomplete atypical femoral fracture, unspecified leg, sequela"
M84.754D,"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
M84.754G,"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
M84.754K,"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
M84.754P,"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
M84.754S,"Complete transverse atypical femoral fracture, right leg, sequela"
M84.755D,"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
M84.755G,"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
M84.755K,"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
M84.755P,"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
M84.755S,"Complete transverse atypical femoral fracture, left leg, sequela"
M84.756D,"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
M84.756G,"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
M84.756K,"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
M84.756P,"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
M84.756S,"Complete transverse atypical femoral fracture, unspecified leg, sequela"
M84.757D,"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
M84.757G,"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
M84.757K,"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
M84.757P,"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
M84.757S,"Complete oblique atypical femoral fracture, right leg, sequela"
M84.758D,"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
M84.758G,"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
M84.758K,"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
M84.758P,"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
M84.758S,"Complete oblique atypical femoral fracture, left leg, sequela"
M84.759D,"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
M84.759G,"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
M84.759K,"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
M84.759P,"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
M84.759S,"Complete oblique atypical femoral fracture, unspecified leg, sequela"
M97.01XD,"Periprosthetic fracture around internal prosthetic right hip joint, subsequent encounter"
M97.01XS,"Periprosthetic fracture around internal prosthetic right hip joint, sequela"
M97.02XD,"Periprosthetic fracture around internal prosthetic left hip joint, subsequent encounter"
M97.02XS,"Periprosthetic fracture around internal prosthetic left hip joint, sequela"
M97.11XD,"Periprosthetic fracture around internal prosthetic right knee joint, subsequent encounter"
M97.11XS,"Periprosthetic fracture around internal prosthetic right knee joint, sequela"
M97.12XD,"Periprosthetic fracture around internal prosthetic left knee joint, subsequent encounter"
M97.12XS,"Periprosthetic fracture around internal prosthetic left knee joint, sequela"
M97.21XD,"Periprosthetic fracture around internal prosthetic right ankle joint, subsequent encounter"
M97.21XS,"Periprosthetic fracture around internal prosthetic right ankle joint, sequela"
M97.22XD,"Periprosthetic fracture around internal prosthetic left ankle joint, subsequent encounter"
M97.22XS,"Periprosthetic fracture around internal prosthetic left ankle joint, sequela"
M97.31XD,"Periprosthetic fracture around internal prosthetic right shoulder joint, subsequent encounter"
M97.31XS,"Periprosthetic fracture around internal prosthetic right shoulder joint, sequela"
M97.32XD,"Periprosthetic fracture around internal prosthetic left shoulder joint, subsequent encounter"
M97.32XS,"Periprosthetic fracture around internal prosthetic left shoulder joint, sequela"
M97.41XD,"Periprosthetic fracture around internal prosthetic right elbow joint, subsequent encounter"
M97.41XS,"Periprosthetic fracture around internal prosthetic right elbow joint, sequela"
M97.42XD,"Periprosthetic fracture around internal prosthetic left elbow joint, subsequent encounter"
M97.42XS,"Periprosthetic fracture around internal prosthetic left elbow joint, sequela"
M97.8XXD,"Periprosthetic fracture around other internal prosthetic joint, subsequent encounter"
M97.8XXS,"Periprosthetic fracture around other internal prosthetic joint, sequela"
M97.9XXD,"Periprosthetic fracture around unspecified internal prosthetic joint, subsequent encounter"
M97.9XXS,"Periprosthetic fracture around unspecified internal prosthetic joint, sequela"
O09.00,"Supervision of pregnancy with history of infertility, unspecified trimester"
O09.01,"Supervision of pregnancy with history of infertility, first trimester"
O09.02,"Supervision of pregnancy with history of infertility, second trimester"
O09.03,"Supervision of pregnancy with history of infertility, third trimester"
O09.10,"Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester"
O09.11,"Supervision of pregnancy with history of ectopic pregnancy, first trimester"
O09.12,"Supervision of pregnancy with history of ectopic pregnancy, second trimester"
O09.13,"Supervision of pregnancy with history of ectopic pregnancy, third trimester"
O09.A0,"Supervision of pregnancy with history of molar pregnancy, unspecified trimester"
O09.A1,"Supervision of pregnancy with history of molar pregnancy, first trimester"
O09.A2,"Supervision of pregnancy with history of molar pregnancy, second trimester"
O09.A3,"Supervision of pregnancy with history of molar pregnancy, third trimester"
O09.211,"Supervision of pregnancy with history of pre-term labor, first trimester"
O09.212,"Supervision of pregnancy with history of pre-term labor, second trimester"
O09.213,"Supervision of pregnancy with history of pre-term labor, third trimester"
O09.219,"Supervision of pregnancy with history of pre-term labor, unspecified trimester"
O09.291,"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"
O09.292,"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"
O09.293,"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester"
O09.299,"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester"
O09.30,"Supervision of pregnancy with insufficient antenatal care, unspecified trimester"
O09.31,"Supervision of pregnancy with insufficient antenatal care, first trimester"
O09.32,"Supervision of pregnancy with insufficient antenatal care, second trimester"
O09.33,"Supervision of pregnancy with insufficient antenatal care, third trimester"
O09.40,"Supervision of pregnancy with grand multiparity, unspecified trimester"
O09.41,"Supervision of pregnancy with grand multiparity, first trimester"
O09.42,"Supervision of pregnancy with grand multiparity, second trimester"
O09.43,"Supervision of pregnancy with grand multiparity, third trimester"
O09.511,"Supervision of elderly primigravida, first trimester"
O09.512,"Supervision of elderly primigravida, second trimester"
O09.513,"Supervision of elderly primigravida, third trimester"
O09.519,"Supervision of elderly primigravida, unspecified trimester"
O09.521,"Supervision of elderly multigravida, first trimester"
O09.522,"Supervision of elderly multigravida, second trimester"
O09.523,"Supervision of elderly multigravida, third trimester"
O09.529,"Supervision of elderly multigravida, unspecified trimester"
O09.611,"Supervision of young primigravida, first trimester"
O09.612,"Supervision of young primigravida, second trimester"
O09.613,"Supervision of young primigravida, third trimester"
O09.619,"Supervision of young primigravida, unspecified trimester"
O09.621,"Supervision of young multigravida, first trimester"
O09.622,"Supervision of young multigravida, second trimester"
O09.623,"Supervision of young multigravida, third trimester"
O09.629,"Supervision of young multigravida, unspecified trimester"
O09.70,"Supervision of high risk pregnancy due to social problems, unspecified trimester"
O09.71,"Supervision of high risk pregnancy due to social problems, first trimester"
O09.72,"Supervision of high risk pregnancy due to social problems, second trimester"
O09.73,"Supervision of high risk pregnancy due to social problems, third trimester"
O09.811,"Supervision of pregnancy resulting from assisted reproductive technology, first trimester"
O09.812,"Supervision of pregnancy resulting from assisted reproductive technology, second trimester"
O09.813,"Supervision of pregnancy resulting from assisted reproductive technology, third trimester"
O09.819,"Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester"
O09.821,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, first trimester"
O09.822,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, second trimester"
O09.823,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester"
O09.829,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, unspecified trimester"
O09.891,"Supervision of other high risk pregnancies, first trimester"
O09.892,"Supervision of other high risk pregnancies, second trimester"
O09.893,"Supervision of other high risk pregnancies, third trimester"
O09.899,"Supervision of other high risk pregnancies, unspecified trimester"
O09.90,"Supervision of high risk pregnancy, unspecified, unspecified trimester"
O09.91,"Supervision of high risk pregnancy, unspecified, first trimester"
O09.92,"Supervision of high risk pregnancy, unspecified, second trimester"
O09.93,"Supervision of high risk pregnancy, unspecified, third trimester"
O66.5,Attempted application of vacuum extractor and forceps
O80,Encounter for full-term uncomplicated delivery
O94,"Sequelae of complication of pregnancy, childbirth, and the puerperium"
P00.0,Newborn affected by maternal hypertensive disorders 
P00.1,Newborn affected by maternal renal and urinary tract diseases
P00.2,Newborn affected by maternal infectious and parasitic diseases
P00.3,Newborn affected by other maternal circulatory and respiratory diseases 
